name,artist,img,Popularity,Genre,Subgenre
Blinding Lights,The Weeknd,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,98,pop,dance pop
The Box,Roddy Ricch,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f,98,rap,hip hop
Tusa,KAROL G,https://i.scdn.co/image/ab67616d0000b273ddd3154c58e15a8bdb63bbcc,98,pop,dance pop
Memories,Maroon 5,https://i.scdn.co/image/ab67616d0000b273b8c0135a218de2d10a8435f5,98,pop,dance pop
everything i wanted,Billie Eilish,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249,97,pop,dance pop
Don't Start Now,Dua Lipa,https://i.scdn.co/image/ab67616d0000b2738583df1a14bea9175f9ac520,97,pop,post-teen pop
bad guy,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,95,pop,dance pop
HIGHEST IN THE ROOM,Travis Scott,https://i.scdn.co/image/ab67616d0000b273e42b5fea4ac4c3d6328b622b,94,pop,post-teen pop
My Oh My (feat. DaBaby),Camila Cabello,https://i.scdn.co/image/ab67616d0000b2735f53c0dbe5190a0af0fa28f3,94,pop,post-teen pop
Someone You Loved,Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,94,pop,dance pop
Ride It,Regard,https://i.scdn.co/image/ab67616d0000b2735c27813ae019011fcb370c78,94,pop,dance pop
hot girl bummer,blackbear,https://i.scdn.co/image/ab67616d0000b2730b7c6d46885f7434c99e6d8b,94,pop,post-teen pop
China,Anuel AA,https://i.scdn.co/image/ab67616d0000b2735fa6dc9fc261344044c301a9,93,pop,dance pop
BOP,DaBaby,https://i.scdn.co/image/ab67616d0000b273f2b94b2fda4f08836d6371ba,93,rap,hip hop
Life Is Good (feat. Drake),Future,https://i.scdn.co/image/ab67616d0000b2738a01c7b77a34378a62f46402,93,rap,hip hop
Señorita,Shawn Mendes,https://i.scdn.co/image/ab67616d0000b273e6095c382c2853667c1623eb,93,pop,dance pop
Fantasias,Rauw Alejandro,https://i.scdn.co/image/ab67616d0000b273ca6183e9d0bfb66f996eefce,92,pop,post-teen pop
Bandit (with YoungBoy Never Broke Again),Juice WRLD,https://i.scdn.co/image/ab67616d0000b2735b4bee4c0dfe7f1ec4b2cc6d,92,pop,dance pop
How Do You Sleep?,Sam Smith,https://i.scdn.co/image/ab67616d0000b27376bc1c851462191faec76bf8,91,pop,post-teen pop
"10,000 Hours (with Justin Bieber)",Dan + Shay,https://i.scdn.co/image/ab67616d0000b27386953b1cbaa29e477db0b479,91,pop,post-teen pop
LA CANCIÓN,J Balvin,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,91,pop,dance pop
Lose Control,MEDUZA,https://i.scdn.co/image/ab67616d0000b273d43c59e52d6a8032a4e27fc4,91,pop,dance pop
Adore You,Harry Styles,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,91,pop,dance pop
Lalala,Y2K,https://i.scdn.co/image/ab67616d0000b2738a6ccb507dd6a66f7f6e2440,91,pop,post-teen pop
Ayy Macarena,Tyga,https://i.scdn.co/image/ab67616d0000b27309cd3b75625ff85382613425,91,pop,indie poptimism
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,https://i.scdn.co/image/ab67616d0000b27373304ce0653c7758dd94b259,91,pop,post-teen pop
Futsal Shuffle 2020,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b27395de6ae7ce5c16ce03274453,91,rap,hip hop
Hola - Remix,Dalex,https://i.scdn.co/image/ab67616d0000b2738f0f79f8cb6c758356ec53b6,91,latin,latin pop
Watermelon Sugar,Harry Styles,https://i.scdn.co/image/ab67616d0000b2737cf2b9825bb43083d123ac22,90,pop,post-teen pop
Old Town Road - Remix,Lil Nas X,https://i.scdn.co/image/ab67616d0000b273c0e7bf5cdd630f314f20586a,90,pop,post-teen pop
Goodbyes (feat. Young Thug),Post Malone,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,90,latin,latin pop
Ransom,Lil Tecca,https://i.scdn.co/image/ab67616d0000b273bd69bbde4aeee723d6d08058,90,pop,post-teen pop
Ballin' (with Roddy Ricch),Mustard,https://i.scdn.co/image/ab67616d0000b27393b1e96fad758869d0974162,90,rap,hip hop
Callaita,Bad Bunny,https://i.scdn.co/image/ab67616d0000b2734aef420e62863ebf622c27f5,90,pop,post-teen pop
Adicto (with Anuel AA & Ozuna),Tainy,https://i.scdn.co/image/ab67616d0000b27354e5aec17a447066f52874fb,90,pop,dance pop
Suicidal,YNW Melly,https://i.scdn.co/image/ab67616d0000b2730f47d89f02cd58a168b8193e,90,rap,hip hop
Trampoline (with ZAYN),SHAED,https://i.scdn.co/image/ab67616d0000b273376ab4e92e92e23191cb4d32,90,pop,post-teen pop
Que Tire Pa Lante,Daddy Yankee,https://i.scdn.co/image/ab67616d0000b2736e5bab685b7c52762e09b784,90,pop,dance pop
7 rings,Ariana Grande,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,90,pop,post-teen pop
All I Want for Christmas Is You,Mariah Carey,https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f,90,r&b,neo soul
Before You Go,Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b273f6cda6c81dd1c2d5783fbd2d,90,pop,dance pop
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,https://i.scdn.co/image/ab67616d0000b27383689afe01c228ceeef579c5,89,pop,post-teen pop
Aventura,Lunay,https://i.scdn.co/image/ab67616d0000b273fddcbb546dd3440b1897c4c7,89,rap,trap
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f,89,rap,hip hop
Yellow Hearts,Ant Saunders,https://i.scdn.co/image/ab67616d0000b273a094850f2af9dad17670683d,89,pop,dance pop
Say So,Doja Cat,https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533,88,latin,latin pop
Si Te Vas,Sech,https://i.scdn.co/image/ab67616d0000b2736ab9d915bf266676a89ed3b9,88,pop,post-teen pop
VIBEZ,DaBaby,https://i.scdn.co/image/ab67616d0000b273f2b94b2fda4f08836d6371ba,88,rap,hip hop
Tutu,Camilo,https://i.scdn.co/image/ab67616d0000b273f748b7d038bc70dfba593fdd,88,latin,latin pop
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,https://i.scdn.co/image/ab67616d0000b273caf82abb2338880577e472be,88,pop,post-teen pop
Woah,Lil Baby,https://i.scdn.co/image/ab67616d0000b2732444bc008adcac2fa15b0e2a,88,rap,hip hop
Hate Me (with Juice WRLD),Ellie Goulding,https://i.scdn.co/image/ab67616d0000b273dc854e032e8588d5e75eebc6,88,pop,post-teen pop
"Yo x Ti, Tu x Mi",ROSALÍA,https://i.scdn.co/image/ab67616d0000b273694844fd046ab81e5dc9a4cf,88,pop,post-teen pop
Money In The Grave (Drake ft. Rick Ross),Drake,https://i.scdn.co/image/ab67616d0000b2733f3b653b0a7b9e889a712c3d,88,rap,hip hop
SUGAR,BROCKHAMPTON,https://i.scdn.co/image/ab67616d0000b27346f07fa4f28bf824840ddacb,88,rap,hip hop
Indeciso,Reik,https://i.scdn.co/image/ab67616d0000b27343939a5f995d82cd434f5057,88,pop,dance pop
July,Noah Cyrus,https://i.scdn.co/image/ab67616d0000b2737f66b73bd6e86f4c8d2a7692,88,pop,post-teen pop
Robbery,Juice WRLD,https://i.scdn.co/image/ab67616d0000b273af149eb4002f65f83afc63c4,88,rap,trap
Blanco,J Balvin,https://i.scdn.co/image/ab67616d0000b273fc1c3e13f4538ca5402330a5,88,pop,dance pop
Suge,DaBaby,https://i.scdn.co/image/ab67616d0000b27374d72ebd51dd5781d5f83ffd,87,rap,hip hop
"thank u, next",Ariana Grande,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,87,pop,post-teen pop
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,87,pop,post-teen pop
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,87,pop,post-teen pop
Bellaquita - Remix,Dalex,https://i.scdn.co/image/ab67616d0000b273da02f7cdf8c4a6e5ad058676,87,latin,latin pop
Con Altura,ROSALÍA,https://i.scdn.co/image/ab67616d0000b27365b0e3e1bd8b5fe2f602c1ea,87,latin,latin pop
Nice To Meet Ya,Niall Horan,https://i.scdn.co/image/ab67616d0000b2732c40a347a68ea9bf72e01d6c,87,pop,dance pop
Con Calma,Daddy Yankee,https://i.scdn.co/image/ab67616d0000b273896ffcd42561c44fea2bae7b,87,pop,dance pop
bury a friend,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,87,pop,indie poptimism
Sucker,Jonas Brothers,https://i.scdn.co/image/ab67616d0000b273de1a3a5eaa0c75bb18e7b597,87,pop,post-teen pop
Higher Love,Kygo,https://i.scdn.co/image/ab67616d0000b2737c8977a0ad3a3a0627be9ed7,87,pop,dance pop
Liar,Camila Cabello,https://i.scdn.co/image/ab67616d0000b2732df02f0877da45295a759f4c,87,pop,dance pop
OUT WEST (feat. Young Thug),JACKBOYS,https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f,87,rap,hip hop
Up All Night,Khalid,https://i.scdn.co/image/ab67616d0000b27336b5099b9e614214f6919bd9,87,pop,post-teen pop
Dancing With A Stranger (with Normani),Sam Smith,https://i.scdn.co/image/ab67616d0000b2733b52eca47232bedfbb5e9443,87,pop,dance pop
goosebumps,Travis Scott,https://i.scdn.co/image/ab67616d0000b2733cdcaa1045106a5767aa79d9,86,pop,electropop
Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,https://i.scdn.co/image/ab67616d0000b2732a00ed4fab80272044d13356,86,pop,post-teen pop
Bruises,Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,86,pop,post-teen pop
Pa' Olvidarme De Ella,Piso 21,https://i.scdn.co/image/ab67616d0000b27326dfdcfae1c961172197a362,86,latin,latin pop
11 PM,Maluma,https://i.scdn.co/image/ab67616d0000b273073bc2070f7fa02b2a6bda64,86,latin,latin pop
You Need To Calm Down,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,86,pop,post-teen pop
TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,https://i.scdn.co/image/ab67616d0000b273f2b94b2fda4f08836d6371ba,86,rap,hip hop
"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,https://i.scdn.co/image/ab67616d0000b27361b418f21b955326dcddd014,86,latin,latin pop
MIDDLE CHILD,J. Cole,https://i.scdn.co/image/ab67616d0000b2737f37a4001ae7d8be430bd91b,86,rap,hip hop
all the good girls go to hell,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,86,pop,indie poptimism
Only Human,Jonas Brothers,https://i.scdn.co/image/ab67616d0000b273de1a3a5eaa0c75bb18e7b597,86,latin,latin pop
Otro Trago - Remix,Sech,https://i.scdn.co/image/ab67616d0000b273b195123bcd742d6019ac9dc8,86,rap,trap
Shape of You,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,86,pop,dance pop
No Me Conoce - Remix,Jhay Cortez,https://i.scdn.co/image/ab67616d0000b27374985c6f5aced37467545408,86,pop,post-teen pop
Turn Me On (feat. Vula),Riton,https://i.scdn.co/image/ab67616d0000b273216a271725a34eba54dd0b55,86,pop,dance pop
QUE PRETENDES,J Balvin,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,86,rap,trap
Soltera - Remix,Lunay,https://i.scdn.co/image/ab67616d0000b27358e34ee7bc215e1b03ff78d4,85,pop,dance pop
idontwannabeyouanymore,Billie Eilish,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,85,r&b,urban contemporary
Family,The Chainsmokers,https://i.scdn.co/image/ab67616d0000b2735e90ff76fd49a23f7333de76,85,pop,dance pop
Camelot,NLE Choppa,https://i.scdn.co/image/ab67616d0000b273740df163274493c4448e53bd,85,rap,gangster rap
"Alone, Pt. II",Alan Walker,https://i.scdn.co/image/ab67616d0000b273153261ff7373a171c24ab9f9,85,pop,dance pop
223's (feat. 9lokknine),YNW Melly,https://i.scdn.co/image/ab67616d0000b273e17488262818129ccb96879d,85,pop,post-teen pop
Never Really Over,Katy Perry,https://i.scdn.co/image/ab67616d0000b2739bea3b79b95f86d1b66ac960,85,pop,dance pop
Takeaway,The Chainsmokers,https://i.scdn.co/image/ab67616d0000b2735e90ff76fd49a23f7333de76,85,pop,post-teen pop
One Thing Right,Marshmello,https://i.scdn.co/image/ab67616d0000b273f0d9f552f55d802413da1002,85,pop,dance pop
Lover (Remix) [feat. Shawn Mendes],Taylor Swift,https://i.scdn.co/image/ab67616d0000b27359457bdb1edb5c6417f3baa2,85,pop,dance pop
Qué Pena,Maluma,https://i.scdn.co/image/ab67616d0000b2730afa3c0979c30465dbb69ba9,85,latin,latin pop
Follow God,Kanye West,https://i.scdn.co/image/ab67616d0000b2731bb797bbfe2480650b6c2964,85,pop,post-teen pop
Beautiful People (feat. Khalid),Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273358f874d5d31e76a8fe3f6d0,85,pop,post-teen pop
i love you,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,85,r&b,urban contemporary
ocean eyes,Billie Eilish,https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795,85,r&b,urban contemporary
All of Me,John Legend,https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78,85,pop,dance pop
Boy With Luv (feat. Halsey),BTS,https://i.scdn.co/image/ab67616d0000b27329d00196831bec20ebbff5c7,85,pop,dance pop
Maniac,Conan Gray,https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43,85,r&b,hip pop
No Guidance (feat. Drake),Chris Brown,https://i.scdn.co/image/ab67616d0000b2739e588b0c2afe8178b2b76231,85,latin,latin pop
GANG GANG,JACKBOYS,https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f,84,rap,hip hop
you should see me in a crown,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,84,pop,indie poptimism
If I Can't Have You,Shawn Mendes,https://i.scdn.co/image/ab67616d0000b273625acd26e0e455312667565f,84,pop,indie poptimism
Wake Me Up,Avicii,https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7,84,pop,dance pop
boyfriend (with Social House),Ariana Grande,https://i.scdn.co/image/ab67616d0000b2732ca010dcf3863a07611d8b4f,84,pop,post-teen pop
"break up with your girlfriend, i'm bored",Ariana Grande,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,84,pop,post-teen pop
Infeliz,Arcangel,https://i.scdn.co/image/ab67616d0000b2737ce7c833a19b3552c318f080,84,rap,trap
Que Calor (feat. J Balvin & El Alfa),Major Lazer,https://i.scdn.co/image/ab67616d0000b273a0a2f2f50439241d3ea69675,84,pop,dance pop
Make No Sense,YoungBoy Never Broke Again,https://i.scdn.co/image/ab67616d0000b273a4cba447b322609cd47fb9d3,84,rap,hip hop
Si Se Da - Remix,Myke Towers,https://i.scdn.co/image/ab67616d0000b2730e13eee4ec9f7ca9c603baf4,84,latin,latin pop
