name,artist,img,Unique ID,Name,Artist,Popularity,Album ID,Album name,Release date,Genre,Subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration ms
Blinding Lights,The Weeknd,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,98,2ZfHkwHuoAZrlz7RMj0PDz,Blinding Lights,2019-11-29,pop,dance pop,0.513,0.796,1,0.887894725813549,1,0.0629,0.00147,0.000210261569416499,0.0938,0.345,171.017,201573
Someone You Loved,Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,94,5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent,2019-05-17,pop,dance pop,0.501,0.405,1,0.854284097814471,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161
Circles,Post Malone,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,4VginDwYTP2eaHJzO0QMjG,Circles,Post Malone,49,75n7rjlC1fxezRtoMQmtL5,Circles,2019-08-30,pop,dance pop,0.704,0.758,0,0.8991681160027659,1,0.0402,0.233,0.001448692152917505,0.0924,0.534,120.003,214907
Memories,Maroon 5,https://i.scdn.co/image/ab67616d0000b273b8c0135a218de2d10a8435f5,2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,98,3nR9B40hYLKLcR0Eph3Goc,Memories,2019-09-20,pop,dance pop,0.764,0.32,11,0.8222240848228317,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486
The Box,Roddy Ricch,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f,0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,98,52u4anZbHd6UInnmHRFzba,Please Excuse Me For Being Antisocial,2019-12-06,rap,hip hop,0.896,0.586,10,0.8331622069023321,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653
bad guy,Billie Eilish,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,95,0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,pop,dance pop,0.701,0.425,7,0.743519896066886,1,0.375,0.328,0.13078470824949698,0.1,0.562,135.128,194088
Tusa,KAROL G,https://i.scdn.co/image/ab67616d0000b273ddd3154c58e15a8bdb63bbcc,7k4t7uLgtOxPwTpFmtJNTY,Tusa,KAROL G,98,7mKevNHhVnZER3BLgI8O4F,Tusa,2019-11-07,pop,dance pop,0.803,0.715,2,0.904553360015087,1,0.298,0.295,0.00013480885311871227,0.0574,0.574,101.085,200960
HIGHEST IN THE ROOM,Travis Scott,https://i.scdn.co/image/ab67616d0000b273e42b5fea4ac4c3d6328b622b,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,94,2uDTi1PlpSpvAv7IRAoAEU,HIGHEST IN THE ROOM,2019-10-04,pop,post-teen pop,0.598,0.427,7,0.7896402154097605,0,0.0317,0.0546,5.865191146881287e-06,0.21,0.0605,76.469,175721
Still Don't Know My Name,Labrinth,https://i.scdn.co/image/ab67616d0000b27389c39ba1acdf33ed7acd3867,6N22FZs2ZhPBYi3b9XPajV,Still Don't Know My Name,Labrinth,75,788r22Bhr3IHLTNPy8pZea,Euphoria (Original Score from the HBO Series),2019-10-04,pop,dance pop,0.314,0.63,5,0.8483330888670033,1,0.116,0.471,0.2676056338028169,0.205,0.312,88.244,153294
Robbery,Juice WRLD,https://i.scdn.co/image/ab67616d0000b273af149eb4002f65f83afc63c4,6Hj9jySrnFppAI0sEMCZpJ,Robbery,Juice WRLD,88,1GYVNOzwhx1nMcIJDogSNp,Death Race For Love,2019-03-08,rap,trap,0.685,0.692,2,0.8659556188839762,1,0.0457,0.328,0.0,0.153,0.578,159.966,240051
Before You Go,Lewis Capaldi,https://i.scdn.co/image/ab67616d0000b273f6cda6c81dd1c2d5783fbd2d,7ce20yLkzuXXLUhzIDoZih,Before You Go,Lewis Capaldi,90,0488X5veBK6t3vSmIiTDJY,Before You Go,2019-11-19,pop,dance pop,0.459,0.575,3,0.8714875426942983,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107
everything i wanted,Billie Eilish,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,97,4i3rAwPw7Ln2YrKDusaWyT,everything i wanted,2019-11-13,pop,dance pop,0.704,0.225,6,0.670410493891834,0,0.0994,0.902,0.6609657947686116,0.106,0.243,120.006,245426
