Name,Artist,Popularity,img,Release date,Genre,Subgenre
Blinding Lights,The Weeknd,98,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,2019-11-29,pop,dance pop
Someone You Loved,Lewis Capaldi,94,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,2019-05-17,pop,dance pop
Circles,Post Malone,49,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,2019-08-30,pop,dance pop
Memories,Maroon 5,98,https://i.scdn.co/image/ab67616d0000b273b8c0135a218de2d10a8435f5,2019-09-20,pop,dance pop
The Box,Roddy Ricch,98,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f,2019-12-06,rap,hip hop
bad guy,Billie Eilish,95,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,2019-03-29,pop,dance pop
Tusa,KAROL G,98,https://i.scdn.co/image/ab67616d0000b273ddd3154c58e15a8bdb63bbcc,2019-11-07,pop,dance pop
HIGHEST IN THE ROOM,Travis Scott,94,https://i.scdn.co/image/ab67616d0000b273e42b5fea4ac4c3d6328b622b,2019-10-04,pop,post-teen pop
Still Don't Know My Name,Labrinth,75,https://i.scdn.co/image/ab67616d0000b27389c39ba1acdf33ed7acd3867,2019-10-04,pop,dance pop
Robbery,Juice WRLD,88,https://i.scdn.co/image/ab67616d0000b273af149eb4002f65f83afc63c4,2019-03-08,rap,trap
Before You Go,Lewis Capaldi,90,https://i.scdn.co/image/ab67616d0000b273f6cda6c81dd1c2d5783fbd2d,2019-11-19,pop,dance pop
everything i wanted,Billie Eilish,97,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249,2019-11-13,pop,dance pop
Believer,Imagine Dragons,9,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,2017-06-23,pop,post-teen pop
ROXANNE,Arizona Zervas,71,https://i.scdn.co/image/ab67616d0000b273069a93617a916760ab88ffea,2019-10-10,pop,post-teen pop
Say So,Doja Cat,88,https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533,2019-11-07,latin,latin pop
Adore You,Harry Styles,91,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,2019-12-06,pop,dance pop
Ride It,Regard,94,https://i.scdn.co/image/ab67616d0000b2735c27813ae019011fcb370c78,2019-07-26,pop,dance pop
Sunday Best,Surfaces,81,https://i.scdn.co/image/ab67616d0000b2733667dc27da7b24360d6050d0,2019-01-06,pop,dance pop
Godzilla (feat. Juice WRLD),Eminem,79,https://i.scdn.co/image/ab67616d0000b2732f44aec83b20e40f3baef73c,2020-01-17,pop,dance pop
Supalonely,BENEE,67,https://i.scdn.co/image/ab67616d0000b27382f4ec53c54bdd5be4eed4a0,2019-11-15,pop,dance pop
7 rings,Ariana Grande,90,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,2019-02-08,pop,post-teen pop
Don't Start Now,Dua Lipa,97,https://i.scdn.co/image/ab67616d0000b2738583df1a14bea9175f9ac520,2019-10-31,pop,post-teen pop
Dior,Pop Smoke,76,https://i.scdn.co/image/ab67616d0000b2738fe5d04b06aff90f9fe796f5,2019-07-26,rap,hip hop
